anime_id,Name,Score,Genres,Episodes_Count,Status,Licensors,Source,Duration,Rating,Rank,class,Episodes
33654,Hitorijime My Hero,7.3,"Boys Love, Drama, Romance",12,Finished Airing,Sentai Filmworks,Manga,24 min per ep,PG-13 - Teens 13 or older,2537,0,Short
33668,Soushin Shoujo Matoi,6.71,Supernatural,12,Finished Airing,Sentai Filmworks,Original,24 min per ep,PG-13 - Teens 13 or older,5307,0,Short
33674,No Game No Life: Zero,8.2,"Drama, Fantasy, Romance",1,Finished Airing,Sentai Filmworks,Light novel,1 hr 46 min,PG-13 - Teens 13 or older,340,1,Short
33681,Flying Witch Petit Special,5.94,"Slice of Life, Supernatural",1,Finished Airing,Sentai Filmworks,Manga,2 min,PG-13 - Teens 13 or older,9104,0,Short
33709,Garo: Guren no Tsuki Special,6.13,"Action, Fantasy",1,Finished Airing,Funimation,Original,23 min,PG-13 - Teens 13 or older,8235,0,Short
33713,Seihou Bukyou Outlaw Star Specials,7.06,"Action, Adventure, Comedy, Sci-Fi, Ecchi",2,Finished Airing,Funimation,Manga,25 min per ep,R+ - Mild Nudity,3706,0,Short
33726,Saiyuuki Reload Blast,7.21,"Action, Adventure, Comedy, Drama, Supernatural",12,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,2967,0,Short
33743,Fuuka,6.51,"Drama, Romance, Ecchi",12,Finished Airing,Funimation,Manga,24 min per ep,R+ - Mild Nudity,6308,0,Short
33798,Cheer Danshi!! Recap,5.87,Sports,1,Finished Airing,Funimation,Novel,24 min,PG-13 - Teens 13 or older,9397,0,Short
33834,Sin: Nanatsu no Taizai,5.75,"Fantasy, Ecchi",12,Finished Airing,Funimation,Other,23 min per ep,R+ - Mild Nudity,9896,0,Short
33889,Saredo Tsumibito wa Ryuu to Odoru,5.78,"Action, Drama, Fantasy, Sci-Fi",12,Finished Airing,Funimation,Light novel,23 min per ep,R - 17+ (violence & profanity),9783,0,Short
33964,91 Days: Mijikai Rousoku,6.51,"Action, Drama",1,Finished Airing,Funimation,Original,24 min,R - 17+ (violence & profanity),6292,0,Short
33966,Yume Oukoku to Nemureru 100-nin no Ouji-sama,5.91,"Adventure, Fantasy",12,Finished Airing,Sentai Filmworks,Game,23 min per ep,PG-13 - Teens 13 or older,9264,0,Short
33988,Demi-chan wa Kataritai,7.54,"Comedy, Fantasy",12,Finished Airing,Funimation,Manga,23 min per ep,PG-13 - Teens 13 or older,1595,0,Short
34009,To Be Hero,6.96,Comedy,12,Finished Airing,Discotek Media,Original,11 min per ep,PG-13 - Teens 13 or older,4161,0,Short
34012,Isekai Shokudou,7.39,"Fantasy, Gourmet, Slice of Life",12,Finished Airing,Funimation,Light novel,23 min per ep,PG-13 - Teens 13 or older,2134,0,Short
34019,Tsugumomo,7.05,"Action, Comedy, Supernatural, Ecchi",12,Finished Airing,Funimation,Manga,24 min per ep,R+ - Mild Nudity,3783,0,Short
